Lapras ex,ラプラスex
Laprasex,ラプラスex
Butterfree,バタフリー
Meowth,ニャース
Chansey,ラッキー
Pikachu,ピカチュウ
Investigación de Profesores,博士の研究
Tarjeta Roja,レッドカード
Poké Ball,モンスターボール
Pokédex ex,ポケモン図鑑
Pokédexex,ポケモン図鑑
Periscopio,ハンドスコープ
Velocidad X,スピーダー
Poción,きずぐすり
Mewtwo ex,ミュウツーex
Mewtwoex,ミュウツーex
Pikachu ex,ピカチュウex
Pikachuex,ピカチュウex
Charizard ex,リザードンex
Charizardex,リザードンex
Mew,ミュウ
Wigglytuff ex,プクリンex
Wigglytuffex,プクリンex
Machamp ex,カイリキーex
Machampex,カイリキーex
Gengar ex,ゲンガーex
Gengarex,ゲンガーex
Zapdos ex,サンダーex
Zapdosex,サンダーex
Articuno ex,フリーザーex
Articunoex,フリーザーex
Moltres ex,ファイヤーex
Moltresex,ファイヤーex
Teniente Surge,マチス
Sabrina,ナツメ
Brock,タケシ
Giovanni,サカキ
Koga,キョウ
Blaine,カツラ
Misty,カスミ
Erika,エリカ
Marowak ex,ガラガラex
Marowakex,ガラガラex
Starmie ex,スターミーex
Starmieex,スターミーex
Blastoise ex,カメックスex
Blastoiseex,カメックスex
Arcanine ex,ウインディex
Arcanineex,ウインディex
Exeggutor ex,ナッシーex
Exeggutorex,ナッシーex
Venusaur ex,フシギバナex
Venusaurex,フシギバナex
Snorlax,カビゴン
Porygon,ポリゴン
Eevee,イーブイ
Ditto,メタモン
Pidgeot,ピジョット
Dragonite,カイリュー
Weezing,マタドガス
Golbat,ゴルバット
Nidoking,ニドキング
Nidoqueen,ニドクイン
Cubone,カラカラ
Diglett,ディグダ
Slowpoke,ヤドン
Alakazam,フーディン
Electrode,マルマイン
Lapras,ラプラス
Gyarados,ギャラドス
Squirtle,ゼニガメ
Rapidash,ギャロップ
Charmander,ヒトカゲ
Pinsir,カイロス
Gloom,クサイハナ
Bulbasaur,フシギダネ
Ámbar viejo,ひみつのコハク
Fósil Domo,こうらの化石
Fósil Hélix,かいの化石
Dubwool,バイウールー
Wooloo,ウールー
Cinccino,チラチーノ
Minccino,チラーミィ
Aerodactyl,プテラ
Tauros,ケンタロス
Kangaskhan,ガルーラ
Lickitung,ベロリンガ
Dodrio,ドードリオ
